PAWellID,County,Municipality,QuadName,WellAddress,WellZipCode,DateDrilled,TypeOfActivity,LatitudeDD,LongitudeDD,Driller,OriginalOwner,WellUse,WaterUse,WellDepth(ft),TopOfCasing(ft),BottomOfCasing(ft),CasingDiameter(in),DepthToBedrock(ft),BedrockNotReached,WellYield(gpm),StaticWaterLevel(ft),WaterLevelAfterYieldTest(ft),LengthOfTest(min),YieldMeasurementMethod,SaltwaterZone(ft),FormationName,PaperImageLink,Remark,
689611 ,ALLEGHENY ,FRANKLIN PARK BORO , ,2491 WEXFORD RUN ROAD ,15090 ,12/31/2010 ,NEW WELL ,40.60159 ,-80.07551 , MEINERT WELL DRILLING INC. ,NOVAK ,WITHDRAWAL ,DOMESTIC ,214 ,0 ,40 ,6.25 ,27 ,False ,5 ,29 ,214 ,120 ,VOLUMETRIC WATCH & BUCKET , , , , ,
51015 ,ALLEGHENY ,UNKNOWN , , , ,12/31/1985 ,NEW WELL , , ,MARTS BROTHERS DRILLING INC ,KILROY K ,WITHDRAWAL ,DOMESTIC ,130 ,0 ,20 ,6 , ,False ,15 , ,48 , ,BAILER , ,UNKNOWN , , ,
511541 ,ALLEGHENY ,FINDLAY TWP. , ,S.R. 30 ,      ,12/30/2013 ,NEW WELL ,40.494 ,-80.31112 , TERRA TESTING INC. ,Marada Golf Course ,MONITORING , ,41 ,0 ,31 ,2 , ,False , ,25 , , , , , , , ,
480725 ,ALLEGHENY ,AVALON BORO , ,400 Union Avenue ,      ,12/30/2011 ,NEW WELL ,40.50399 ,-80.06195 , TERRA TESTING INC. ,Quick Service (Marathon) ,MONITORING , ,26 ,0 ,8 ,2 , ,False , ,19 , , , , , , , ,
594659 ,ALLEGHENY ,EDGEWORTH BORO ,AMBRIDGE ,449 Leet Rd. ,15143 ,12/29/2014 ,OPEN-LOOP GEOTHERMAL ,40.5537 ,-80.19712 , DILLAN WELL DRILLING INC ,Sheehan ,OPEN-LOOP GEOTHERMAL ,GEOTHERMAL ,73 ,0 ,70 ,6 ,72 ,False ,30 ,31 ,36 ,90 ,ORIFICE , , , , ,
594261 ,ALLEGHENY ,EDGEWORTH BORO ,AMBRIDGE ,449 Leet Rd. ,15143 ,12/29/2014 ,OPEN-LOOP GEOTHERMAL ,40.55377 ,-80.19723 , DILLAN WELL DRILLING INC ,Sheenhan ,OPEN-LOOP GEOTHERMAL ,GEOTHERMAL ,73 ,0 ,70 ,6 ,72 ,False ,30 ,31 ,36 ,90 ,ORIFICE , , , ,well located left side of house Supply well ,
487048 ,ALLEGHENY ,AVALON BORO , ,400 Union Avenue ,      ,12/29/2011 ,NEW WELL ,40.50428 ,-80.06189 , TERRA TESTING INC. ,Quick Service (Marathon) ,MONITORING , ,20 ,0 ,5 ,2 , ,False , ,9 , , , , , , , ,
487773 ,ALLEGHENY ,AVALON BORO , ,400 Union Avenue ,      ,12/29/2011 ,NEW WELL ,40.50418 ,-80.06197 , TERRA TESTING INC. ,Quick Service (Marathon) ,MONITORING , ,21 ,0 ,6 ,2 , ,False , ,11 , , , , , , , ,
486998 ,ALLEGHENY ,ETNA BORO , ,488 Butler St Etna ,15223 ,12/29/2011 ,NEW WELL ,40.49868 ,-79.94305 ,JERY MCCLOSKEY ,Tippins  ,MONITORING ,UNUSED ,13 ,0 ,6 ,2 , ,True , , , , , , , , ,Depth to top of bentonite seal = .5 riser length = 5.5 ,
487734 ,ALLEGHENY ,ETNA BORO , ,488 Butler St Etna ,15223 ,12/29/2011 ,NEW WELL ,40.49814 ,-79.94159 ,JERY MCCLOSKEY ,Tippins  ,MONITORING ,UNUSED ,20 ,0 ,10 ,2 , ,True , , , , , , , , ,Depth to top of bentonite seal = .5 ,
487736 ,ALLEGHENY ,ETNA BORO , ,488 Butler St Etna ,15223 ,12/29/2011 ,NEW WELL ,40.49749 ,-79.94141 ,JERY MCCLOSKEY ,Tippins  ,MONITORING ,UNUSED ,19.5 ,0 ,10 ,2 , ,True , , , , , , , , ,Depth ot bottom or concrete cap = .5 Depth to top of bentonite seal = .5 Depth to bottom of filter pack = 19.5 riser length = 9.5 ,
487770 ,ALLEGHENY ,AVALON BORO , ,400 Union Avenue ,      ,12/29/2011 ,NEW WELL ,40.50426 ,-80.06197 , TERRA TESTING INC. ,Quick Service (Marathon) ,MONITORING , ,17 ,0 ,6 ,2 , ,False , ,9 , , , , , , , ,
569977 ,ALLEGHENY ,PINE TWP. , , , ,12/29/2007 ,NEW WELL ,0 ,0 , HAEFNER DRILLING LLC ,Hollinger ,WITHDRAWAL ,DOMESTIC , , , , , ,False , , , , , , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM212917") , ,
